TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
simple,129,"Elisas Inmunologia",ANTI-DNA,ANTI-DNA,795,15,ambos,0,46.4,UI/ml,3
simple,130,"Elisas Inmunologia","ANTI CCP","ANTI CCP",796,15,ambos,0,17,U/ml,3
simple,128,"Elisas Inmunologia",ANA,ANA,794,15,ambos,0,40,AU/mL,3
simple,128,"Elisas Inmunologia",ANA,ANA,794,15,ambos,"POSITIVO 1/40","POSITIVO  < 1/40",,3
simple,135,Radioinmunoensayo,C3,C3,807,6,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,842,6,ambos,90,180,mg/dl,3
simple,135,Radioinmunoensayo,C3,C3,808,7,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,843,7,ambos,90,180,mg/dl,3
simple,135,Radioinmunoensayo,C3,C3,809,8,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,844,8,ambos,90,180,mg/dl,3
simple,135,Radioinmunoensayo,C3,C3,810,9,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,845,9,ambos,90,180,mg/dl,3
simple,135,Radioinmunoensayo,C3,C3,811,10,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,846,10,ambos,90,180,mg/dl,3
simple,135,Radioinmunoensayo,C3,C3,812,11,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,847,11,ambos,90,180,mg/dl,3
simple,135,Radioinmunoensayo,C3,C3,813,12,ambos,90,180,mg/dl,3
simple,140,Nefelometria,C3,C3,848,12,ambos,90,180,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,814,6,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,849,6,ambos,10,40,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,815,7,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,850,7,ambos,10,40,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,816,8,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,851,8,ambos,10,40,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,817,9,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,852,9,ambos,10,40,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,818,10,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,853,10,ambos,10,40,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,819,11,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,854,11,ambos,10,40,mg/dl,3
simple,136,Radioinmunoensayo,C4,C4,820,12,ambos,10,40,mg/dl,3
simple,141,Nefelometria,C4,C4,855,12,ambos,10,40,mg/dl,3
simple,132,"Elisas Inmunologia","ANCA C","ANCA C",798,15,ambos,0,0.9,,3
simple,131,"Elisas Inmunologia","ANCA P","ANCA P",797,15,ambos,0,0.9,,3
simple,124,Elisas,IgE,IgE,784,6,ambos,0,146,UI/ml,3
simple,124,Elisas,IgE,IgE,785,7,ambos,0,146,UI/ml,3
simple,124,Elisas,IgE,IgE,786,8,ambos,0,280,UI/ml,3
simple,124,Elisas,IgE,IgE,787,9,ambos,0,280,UI/ml,3
simple,124,Elisas,IgE,IgE,788,10,ambos,0,280,UI/ml,3
simple,124,Elisas,IgE,IgE,789,11,ambos,0,200,UI/ml,3
simple,154,"Pruebas Gastricas","Antiendomisio IgA","Antiendomisio IgA",892,15,ambos,"NEGATIVO                                                                                                    POSITIVO > 1/5",,,3
simple,156,"Pruebas Gastricas","Antitransglutaminasa IgA","Antitransglutaminasa IgA",894,15,ambos,0,10,UI/ml,3
